"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_INTRACELLULAR_TRANSPORT","GOBP_INTRACELLULAR_TRANSPORT","GOBP_INTRACELLULAR_TRANSPORT","5/25","18/92",0.580458796462642,0.994722215760945,0.994722215760945,"8841/3192/4928/5903/23353",5
"GOBP_PROGRAMMED_CELL_DEATH","GOBP_PROGRAMMED_CELL_DEATH","GOBP_PROGRAMMED_CELL_DEATH","5/25","18/92",0.580458796462642,0.994722215760945,0.994722215760945,"22900/8841/4771/5170/5921",5
"GOBP_INTRACELLULAR_PROTEIN_TRANSPORT","GOBP_INTRACELLULAR_PROTEIN_TRANSPORT","GOBP_INTRACELLULAR_PROTEIN_TRANSPORT","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"8841/4928/5903",3
"GOBP_NUCLEAR_ENVELOPE_ORGANIZATION","GOBP_NUCLEAR_ENVELOPE_ORGANIZATION","GOBP_NUCLEAR_ENVELOPE_ORGANIZATION","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"23399/4001/23353",3
"GOBP_ORGANELLE_LOCALIZATION","GOBP_ORGANELLE_LOCALIZATION","GOBP_ORGANELLE_LOCALIZATION","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"3192/5170/23353",3
"GOBP_REGULATION_OF_TRANSPORT","GOBP_REGULATION_OF_TRANSPORT","GOBP_REGULATION_OF_TRANSPORT","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"8841/5170/55423",3
"GOCC_SUPRAMOLECULAR_POLYMER","GOCC_SUPRAMOLECULAR_POLYMER","GOCC_SUPRAMOLECULAR_POLYMER","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"23271/3192/4001",3
"HP_ABNORMAL_CARDIAC_SEPTUM_MORPHOLOGY","HP_ABNORMAL_CARDIAC_SEPTUM_MORPHOLOGY","HP_ABNORMAL_CARDIAC_SEPTUM_MORPHOLOGY","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"3192/4001/6597",3
"HP_ABNORMAL_CONJUGATE_EYE_MOVEMENT","HP_ABNORMAL_CONJUGATE_EYE_MOVEMENT","HP_ABNORMAL_CONJUGATE_EYE_MOVEMENT","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"3192/4001/6597",3
"HP_ABNORMAL_RENAL_MORPHOLOGY","HP_ABNORMAL_RENAL_MORPHOLOGY","HP_ABNORMAL_RENAL_MORPHOLOGY","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"3192/4001/6597",3
"HP_ABNORMALITY_OF_UPPER_LIP","HP_ABNORMALITY_OF_UPPER_LIP","HP_ABNORMALITY_OF_UPPER_LIP","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"3192/4001/6597",3
"HP_FUNCTIONAL_ABNORMALITY_OF_THE_GASTROINTESTINAL_TRACT","HP_FUNCTIONAL_ABNORMALITY_OF_THE_GASTROINTESTINAL_TRACT","HP_FUNCTIONAL_ABNORMALITY_OF_THE_GASTROINTESTINAL_TRACT","3/25","11/92",0.622113567349642,0.994722215760945,0.994722215760945,"22900/4001/4771",3
